;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
79;69;72;68;70;67;60;54;69;65;40;51;65;66;76;68;67;61;75;80;75;75;74;66;12;67;60;69;14;17;20;7;9;8;13;8;34;180,34;170;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
80;68;71;63;50;66;66;42;66;40;41;59;64;70;69;69;66;60;48;82;72;72;51;72;70;40;49;55;70;70;71;9;6;7;10;8;21;175,26;157;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
81;72;72;81;45;51;60;48;61;58;58;61;65;78;80;69;81;43;69;71;90;81;57;79;76;54;60;45;61;70;70;12;8;11;18;11;33;177,8;152;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
82;67;67;43;78;57;57;64;61;49;42;48;58;77;78;72;63;73;75;47;62;67;65;52;34;64;44;45;34;31;23;16;15;7;12;13;24;182,88;168;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
83;62;74;44;64;51;54;57;62;47;40;41;62;80;83;65;56;59;76;53;59;59;56;58;32;62;53;43;32;39;25;15;14;6;11;12;33;177,8;165;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
84;75;75;69;65;77;74;75;79;63;58;72;80;73;77;74;74;56;84;65;73;83;70;77;72;75;77;74;69;74;73;13;7;13;9;12;33;190,5;187;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
85;61;70;33;65;67;59;52;63;45;43;42;61;64;65;59;59;69;59;66;62;57;55;33;13;58;50;72;22;23;21;6;14;12;7;11;40;175,26;161;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
86;60;69;32;64;66;58;51;62;44;42;41;60;64;65;59;58;69;58;67;62;57;54;32;25;57;49;71;21;22;20;5;13;11;6;10;19;182,88;172;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
87;73;73;69;57;47;85;47;60;81;72;82;73;49;38;61;70;59;77;33;66;61;73;70;68;64;76;63;68;71;65;10;8;6;11;10;19;172,72;152;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
88;67;69;68;57;46;77;46;59;81;71;81;68;56;57;61;57;59;77;37;59;61;74;55;49;61;72;62;49;52;45;9;7;5;10;9;34;185,42;174;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
89;65;65;46;48;68;62;36;47;28;43;59;58;73;71;70;65;52;71;80;78;86;56;84;64;54;51;45;63;67;64;11;5;14;11;15;31;182,88;174;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
90;65;65;46;48;68;62;36;47;28;43;59;58;73;71;70;65;52;71;80;78;86;56;84;64;54;51;45;63;67;64;11;5;14;11;15;29;193,04;198;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
91;71;71;69;41;65;69;36;71;76;58;61;72;80;77;79;69;77;69;73;72;76;60;69;72;67;67;57;71;72;70;11;8;7;14;11;21;177,8;141;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
92;61;61;25;25;25;25;25;25;25;25;31;22;42;42;49;60;30;40;66;35;61;25;32;25;25;25;22;25;25;25;60;61;53;62;64;20;190,5;172;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
93;76;76;64;68;60;82;67;78;68;71;71;81;66;67;63;74;80;80;62;34;91;70;70;55;67;81;76;44;59;58;8;16;12;11;12;22;170,18;161;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
